TIME,MAX,MIN,OTHER
20140801 000009920,0.916187195,0.915935445,0
20140801 000010183,0.916195589,0.915943834,0
20140801 000015420,0.916229167,0.915977394,0
20140801 000015670,0.916237562,0.915985784,0
20140801 000017683,0.916229167,0.915977394,0
20140801 000018420,0.916237562,0.915985784,0
20140801 000018670,0.916229167,0.915977394,0
20140801 000026167,0.916220773,0.915969004,0
20140801 000029417,0.916212378,0.915960614,0
20140801 000035917,0.916220773,0.915969004,0
20140801 000037417,0.916212378,0.915960614,0
20140801 000044667,0.916203984,0.915952224,0
20140801 000048917,0.916212378,0.915960614,0
20140801 000049417,0.916203984,0.915952224,0
20140801 000049667,0.916212378,0.915960614,0
20140801 000058667,0.916203984,0.915952224,0
20140801 000102167,0.916195589,0.915943834,0
20140801 000103167,0.916203984,0.915952224,0
20140801 000103667,0.916195589,0.915943834,0
20140801 000106917,0.916203984,0.915952224,0
20140801 000107417,0.916178801,0.915927056,0
20140801 000107667,0.916203984,0.915952224,0
20140801 000207183,0.916212378,0.915960614,0
20140801 000207433,0.916229167,0.915977394,0
20140801 000207683,0.916245957,0.915994174,0
20140801 000208933,0.916220773,0.915969004,0
20140801 000209183,0.916245957,0.915994174,0
20140801 000209433,0.916220773,0.915969004,0
20140801 000209683,0.916212378,0.915960614,0
20140801 000236933,0.916203984,0.915952224,0
20140801 000237433,0.916212378,0.915960614,0
20140801 000238933,0.916203984,0.915952224,0
20140801 000239183,0.916212378,0.915960614,0
20140801 000239433,0.916203984,0.915952224,0
20140801 000239683,0.916212378,0.915960614,0
20140801 000239933,0.916203984,0.915952224,0
20140801 000612947,0.916195589,0.915943834,0
20140801 000613197,0.916187195,0.915935445,0
20140801 000615947,0.916195589,0.915943834,0
20140801 000616197,0.916187195,0.915935445,0
20140801 000620447,0.916195589,0.915943834,0
20140801 000621197,0.916187195,0.915935445,0
20140801 000630697,0.916195589,0.915943834,0
20140801 000631197,0.916187195,0.915935445,0
20140801 000713947,0.916229167,0.915977394,0
20140801 000714197,0.916212378,0.915960614,0
20140801 000714447,0.916203984,0.915952224,0
20140801 000720197,0.916212378,0.915960614,0
20140801 000738697,0.916203984,0.915952224,0
20140801 000820447,0.916212378,0.915960614,0
20140801 000828930,0.916203984,0.915952224,0
20140801 000829680,0.916212378,0.915960614,0
20140801 000839930,0.916203984,0.915952224,0
20140801 000840180,0.916195589,0.915943834,0
20140801 000938930,0.916203984,0.915952224,0
20140801 000939930,0.916195589,0.915943834,0
