TIME,MIN,MAX,OTHER
20140801 000006920,1.687420,1.687720,0
20140801 000007920,1.687430,1.687730,0
20140801 000103667,1.687420,1.687720,0
20140801 000104417,1.687430,1.687730,0
20140801 000106917,1.687420,1.687720,0
20140801 000109683,1.687410,1.687710,0
20140801 000148183,1.687420,1.687720,0
20140801 000157683,1.687430,1.687730,0
20140801 000206200,1.687420,1.687720,0
20140801 000206933,1.687430,1.687730,0
20140801 000207433,1.687420,1.687720,0
20140801 000207683,1.687430,1.687730,0
20140801 000208433,1.687420,1.687720,0
20140801 000208933,1.687430,1.687730,0
20140801 000246917,1.687420,1.687720,0
20140801 000251667,1.687430,1.687730,0
20140801 000252417,1.687420,1.687720,0
20140801 000408073,1.687410,1.687710,0
20140801 000408417,1.687420,1.687720,0
20140801 000410167,1.687430,1.687730,0
20140801 000420417,1.687420,1.687720,0
20140801 000420667,1.687430,1.687730,0
20140801 000513917,1.687420,1.687720,0
20140801 000514167,1.687430,1.687730,0
20140801 000519167,1.687420,1.687720,0
20140801 000520417,1.687430,1.687730,0
20140801 000522417,1.687420,1.687720,0
20140801 000600197,1.687410,1.687710,0
20140801 000611697,1.687420,1.687720,0
20140801 000641947,1.687410,1.687710,0
20140801 000700197,1.687420,1.687720,0
20140801 000800697,1.687430,1.687730,0
20140801 000801447,1.687420,1.687720,0
20140801 000801697,1.687430,1.687730,0
20140801 000802197,1.687420,1.687720,0
20140801 000802947,1.687430,1.687730,0
20140801 000803197,1.687420,1.687720,0
20140801 000804447,1.687430,1.687730,0
20140801 000804697,1.687420,1.687720,0
20140801 000805447,1.687430,1.687730,0
20140801 000805947,1.687420,1.687720,0
20140801 000809947,1.687380,1.687680,0
20140801 000812447,1.687390,1.687690,0
20140801 000812697,1.687380,1.687680,0
20140801 000814697,1.687430,1.687730,0
20140801 000814947,1.687450,1.687750,0
20140801 000815197,1.687460,1.687760,0
20140801 000815447,1.687450,1.687750,0
20140801 000821197,1.687460,1.687760,0
20140801 000821697,1.687450,1.687750,0
20140801 000824447,1.687490,1.687790,0
20140801 000824697,1.687510,1.687810,0
20140801 000831180,1.687520,1.687820,0
20140801 000832930,1.687510,1.687810,0
20140801 000847180,1.687520,1.687820,0
20140801 000847930,1.687550,1.687850,0
20140801 000848087,1.687560,1.687860,0
20140801 000901447,1.687540,1.687840,0
