TIME,MAX,MIN,OTHER
20140801 000010183,0.009719401,0.009717512,0
20140801 000011920,0.009719495,0.009717606,0
20140801 000012683,0.009719401,0.009717512,0
20140801 000015420,0.009719495,0.009717606,0
20140801 000016420,0.009719401,0.009717512,0
20140801 000029167,0.009719212,0.009717323,0
20140801 000044417,0.009719023,0.009717134,0
20140801 000044917,0.009718929,0.00971704,0
20140801 000055417,0.009719023,0.009717134,0
20140801 000113183,0.009718929,0.00971704,0
20140801 000113683,0.009718834,0.009716945,0
20140801 000113933,0.00971874,0.009716851,0
20140801 000114183,0.009718645,0.009716757,0
20140801 000122667,0.00971874,0.009716851,0
20140801 000122933,0.009718929,0.00971704,0
20140801 000123183,0.009719023,0.009717134,0
20140801 000129183,0.009718929,0.00971704,0
20140801 000133933,0.009718834,0.009716945,0
20140801 000140933,0.009719023,0.009717134,0
20140801 000141183,0.009719212,0.009717323,0
20140801 000228933,0.009719023,0.009717134,0
20140801 000229183,0.009719118,0.009717229,0
20140801 000229433,0.009719212,0.009717323,0
20140801 000234183,0.009719306,0.009717417,0
20140801 000239683,0.009719401,0.009717512,0
20140801 000239933,0.009719306,0.009717417,0
20140801 000240183,0.009719401,0.009717512,0
20140801 000243667,0.009719306,0.009717417,0
20140801 000247667,0.009719212,0.009717323,0
20140801 000249167,0.009719306,0.009717417,0
20140801 000331917,0.009719212,0.009717323,0
20140801 000332167,0.009719306,0.009717417,0
20140801 000420667,0.009719401,0.009717512,0
20140801 000421167,0.009719306,0.009717417,0
20140801 000423667,0.009719401,0.009717512,0
20140801 000423917,0.009719306,0.009717417,0
20140801 000454417,0.009719401,0.009717512,0
20140801 000454667,0.00971959,0.009717701,0
20140801 000454917,0.009719684,0.009717795,0
20140801 000455167,0.00971959,0.009717701,0
20140801 000455417,0.009719779,0.00971789,0
20140801 000456167,0.009719684,0.009717795,0
20140801 000457417,0.009719495,0.009717606,0
20140801 000504417,0.009719401,0.009717512,0
20140801 000504667,0.009719306,0.009717417,0
20140801 000504917,0.009719212,0.009717323,0
20140801 000523667,0.009719118,0.009717229,0
20140801 000523917,0.009719212,0.009717323,0
20140801 000524167,0.009719118,0.009717229,0
20140801 000524417,0.009719212,0.009717323,0
20140801 000524667,0.009719118,0.009717229,0
20140801 000527667,0.009719212,0.009717323,0
20140801 000531167,0.009719118,0.009717229,0
20140801 000531417,0.009719212,0.009717323,0
20140801 000531917,0.009719118,0.009717229,0
20140801 000540183,0.009719023,0.009717134,0
20140801 000540433,0.009719118,0.009717229,0
20140801 000540683,0.009718929,0.00971704,0
20140801 000540933,0.009719023,0.009717134,0
20140801 000541183,0.009719118,0.009717229,0
20140801 000543183,0.009719212,0.009717323,0
20140801 000544433,0.009719023,0.009717134,0
20140801 000544683,0.009719118,0.009717229,0
20140801 000545183,0.009719212,0.009717323,0
20140801 000545433,0.009719023,0.009717134,0
20140801 000546433,0.009718929,0.00971704,0
20140801 000546683,0.009718834,0.009716945,0
20140801 000606933,0.00971874,0.009716851,0
20140801 000620197,0.009718929,0.00971704,0
20140801 000620447,0.009718834,0.009716945,0
20140801 000620947,0.00971874,0.009716851,0
20140801 000621447,0.009718645,0.009716757,0
20140801 000621697,0.009718362,0.009716473,0
20140801 000621947,0.009718267,0.009716379,0
20140801 000622197,0.009718173,0.009716284,0
20140801 000626197,0.009718267,0.009716379,0
20140801 000632947,0.009718362,0.009716473,0
20140801 000642697,0.009718173,0.009716284,0
20140801 000644697,0.009717984,0.009716096,0
20140801 000644947,0.009718079,0.00971619,0
20140801 000645197,0.009717984,0.009716096,0
20140801 000645447,0.00971789,0.009716001,0
20140801 000651447,0.009718079,0.00971619,0
20140801 000651697,0.009718362,0.009716473,0
20140801 000652197,0.009718267,0.009716379,0
20140801 000652447,0.009718173,0.009716284,0
20140801 000700447,0.009718362,0.009716473,0
20140801 000703683,0.009718173,0.009716284,0
20140801 000703947,0.009718267,0.009716379,0
20140801 000705697,0.009718079,0.00971619,0
20140801 000705947,0.009718267,0.009716379,0
20140801 000706197,0.009718079,0.00971619,0
20140801 000706447,0.009717984,0.009716096,0
20140801 000730447,0.009718079,0.00971619,0
20140801 000730697,0.009718173,0.009716284,0
20140801 000738697,0.009718267,0.009716379,0
20140801 000742197,0.009718362,0.009716473,0
20140801 000742447,0.009718929,0.00971704,0
20140801 000744197,0.009718834,0.009716945,0
20140801 000748430,0.009718267,0.009716379,0
20140801 000748697,0.009718173,0.009716284,0
20140801 000748947,0.009717984,0.009716096,0
20140801 000749447,0.009718079,0.00971619,0
20140801 000749697,0.009718173,0.009716284,0
20140801 000756197,0.00971789,0.009716001,0
