TIME,MIN,MAX,OTHER
20140801 000008670,0.850150,0.850450,0
20140801 000015420,0.850170,0.850470,0
20140801 000015670,0.850180,0.850480,0
20140801 000015920,0.850170,0.850470,0
20140801 000016670,0.850180,0.850480,0
20140801 000017420,0.850170,0.850470,0
20140801 000030167,0.850160,0.850460,0
20140801 000030667,0.850150,0.850450,0
20140801 000035917,0.850140,0.850440,0
20140801 000036183,0.850130,0.850430,0
20140801 000045417,0.850110,0.850410,0
20140801 000045667,0.850080,0.850380,0
20140801 000046167,0.850070,0.850370,0
20140801 000048667,0.850080,0.850380,0
20140801 000058167,0.850090,0.850390,0
20140801 000106917,0.850070,0.850370,0
20140801 000107167,0.850020,0.850320,0
20140801 000108417,0.850000,0.850300,0
20140801 000121683,0.850010,0.850310,0
20140801 000126683,0.850020,0.850320,0
20140801 000132933,0.850010,0.850310,0
20140801 000133183,0.850020,0.850320,0
20140801 000133433,0.850010,0.850310,0
20140801 000133933,0.850020,0.850320,0
20140801 000134917,0.850030,0.850330,0
20140801 000137683,0.850020,0.850320,0
20140801 000156433,0.850030,0.850330,0
20140801 000159183,0.850020,0.850320,0
20140801 000159433,0.850030,0.850330,0
20140801 000200183,0.850020,0.850320,0
20140801 000203433,0.850030,0.850330,0
20140801 000203683,0.850020,0.850320,0
20140801 000204683,0.850030,0.850330,0
20140801 000205183,0.850020,0.850320,0
20140801 000205433,0.850030,0.850330,0
20140801 000206433,0.850020,0.850320,0
20140801 000206683,0.850030,0.850330,0
20140801 000206933,0.850040,0.850340,0
20140801 000207183,0.850060,0.850360,0
20140801 000207433,0.850070,0.850370,0
20140801 000321667,0.850080,0.850380,0
20140801 000321917,0.850100,0.850400,0
20140801 000357167,0.850090,0.850390,0
20140801 000408667,0.850080,0.850380,0
20140801 000408917,0.850090,0.850390,0
20140801 000607197,0.850080,0.850380,0
20140801 000608947,0.850090,0.850390,0
20140801 000615197,0.850080,0.850380,0
20140801 000616947,0.850090,0.850390,0
20140801 000617447,0.850080,0.850380,0
20140801 000617697,0.850090,0.850390,0
20140801 000619197,0.850080,0.850380,0
20140801 000621947,0.850070,0.850370,0
20140801 000633197,0.850060,0.850360,0
20140801 000743947,0.850050,0.850350,0
20140801 000744197,0.850020,0.850320,0
20140801 000744447,0.850010,0.850310,0
20140801 000744697,0.850000,0.850300,0
20140801 000745447,0.849980,0.850280,0
20140801 000811197,0.849970,0.850270,0
20140801 000820697,0.849950,0.850250,0
20140801 000820947,0.849930,0.850230,0
20140801 000821197,0.849920,0.850220,0
20140801 000830680,0.849930,0.850230,0
20140801 000831180,0.849940,0.850240,0
20140801 000854430,0.849900,0.850200,0
20140801 000854680,0.849910,0.850210,0
20140801 000854930,0.849970,0.850270,0
20140801 000855180,0.849980,0.850280,0
20140801 000855430,0.849970,0.850270,0
20140801 000856680,0.850000,0.850300,0
20140801 000856930,0.849990,0.850290,0
20140801 000912430,0.849980,0.850280,0
20140801 000912680,0.850000,0.850300,0
20140801 000914180,0.850010,0.850310,0
20140801 001008680,0.850000,0.850300,0
20140801 001008930,0.850010,0.850310,0
20140801 001024180,0.850000,0.850300,0
20140801 001026180,0.850010,0.850310,0
20140801 001031930,0.850020,0.850320,0
20140801 001032680,0.850030,0.850330,0
20140801 001032947,0.850010,0.850310,0
20140801 001033930,0.850020,0.850320,0
20140801 001035430,0.850010,0.850310,0
20140801 001036430,0.850020,0.850320,0
20140801 001037680,0.850010,0.850310,0
20140801 001044930,0.850030,0.850330,0
20140801 001045180,0.850050,0.850350,0
20140801 001046930,0.850040,0.850340,0
20140801 001049930,0.850030,0.850330,0
