TIME,MIN,MAX,OTHER
20140801 000005670,0.929350,0.929550,0
20140801 000015170,0.929380,0.929580,0
20140801 000016420,0.929390,0.929590,0
20140801 000031667,0.929380,0.929580,0
20140801 000045417,0.929360,0.929560,0
20140801 000045667,0.929340,0.929540,0
20140801 000106667,0.929330,0.929530,0
20140801 000106917,0.929280,0.929480,0
20140801 000107417,0.929250,0.929450,0
20140801 000113090,0.929240,0.929440,0
20140801 000115183,0.929250,0.929450,0
20140801 000137433,0.929260,0.929460,0
20140801 000206683,0.929270,0.929470,0
20140801 000206933,0.929280,0.929480,0
20140801 000207183,0.929350,0.929550,0
20140801 000207433,0.929370,0.929570,0
20140801 000207683,0.929350,0.929550,0
20140801 000207933,0.929360,0.929560,0
20140801 000209683,0.929350,0.929550,0
20140801 000209933,0.929340,0.929540,0
20140801 000212933,0.929280,0.929480,0
20140801 000213167,0.929330,0.929530,0
20140801 000213683,0.929320,0.929520,0
20140801 000215933,0.929300,0.929500,0
20140801 000228683,0.929310,0.929510,0
20140801 000228933,0.929340,0.929540,0
20140801 000229683,0.929350,0.929550,0
20140801 000512417,0.929340,0.929540,0
20140801 000512667,0.929330,0.929530,0
20140801 000529417,0.929320,0.929520,0
20140801 000531167,0.929330,0.929530,0
20140801 000533417,0.929320,0.929520,0
20140801 000547183,0.929330,0.929530,0
20140801 000551933,0.929290,0.929490,0
20140801 000552183,0.929280,0.929480,0
20140801 000643197,0.929300,0.929500,0
20140801 000651947,0.929290,0.929490,0
20140801 000712947,0.929280,0.929480,0
20140801 000755197,0.929290,0.929490,0
20140801 000755447,0.929280,0.929480,0
20140801 000756197,0.929270,0.929470,0
20140801 000756697,0.929280,0.929480,0
20140801 000809947,0.929270,0.929470,0
20140801 000810197,0.929280,0.929480,0
20140801 000840430,0.929270,0.929470,0
20140801 000844680,0.929260,0.929460,0
20140801 000844930,0.929270,0.929470,0
20140801 000853430,0.929260,0.929460,0
20140801 000853680,0.929270,0.929470,0
20140801 000901447,0.929260,0.929460,0
20140801 000908930,0.929270,0.929470,0
20140801 000948930,0.929280,0.929480,0
20140801 000949430,0.929270,0.929470,0
20140801 001007697,0.929260,0.929460,0
20140801 001008430,0.929240,0.929440,0
20140801 001008680,0.929190,0.929390,0
20140801 001014180,0.929230,0.929430,0
20140801 001014430,0.929240,0.929440,0
20140801 001014680,0.929260,0.929460,0
20140801 001014930,0.929250,0.929450,0
20140801 001015680,0.929230,0.929430,0
20140801 001015930,0.929240,0.929440,0
20140801 001016180,0.929260,0.929460,0
20140801 001021180,0.929280,0.929480,0
20140801 001021930,0.929290,0.929490,0
20140801 001026180,0.929280,0.929480,0
20140801 001031680,0.929290,0.929490,0
20140801 001037680,0.929260,0.929460,0
20140801 001038930,0.929240,0.929440,0
20140801 001039180,0.929260,0.929460,0
20140801 001039680,0.929240,0.929440,0
20140801 001130180,0.929230,0.929430,0
20140801 001130430,0.929190,0.929390,0
20140801 001131180,0.929170,0.929370,0
20140801 001138180,0.929180,0.929380,0
20140801 001138430,0.929190,0.929390,0
20140801 001138680,0.929200,0.929400,0
20140801 001139680,0.929210,0.929410,0
20140801 001148680,0.929180,0.929380,0
20140801 001148930,0.929190,0.929390,0
20140801 001149180,0.929170,0.929370,0
20140801 001157180,0.929180,0.929380,0
20140801 001157680,0.929190,0.929390,0
20140801 001204180,0.929200,0.929400,0
20140801 001207430,0.929220,0.929420,0
20140801 001207680,0.929230,0.929430,0
20140801 001208930,0.929210,0.929410,0
20140801 001225930,0.929200,0.929400,0
20140801 001230180,0.929220,0.929420,0
20140801 001230430,0.929240,0.929440,0
20140801 001230680,0.929230,0.929430,0
20140801 001300180,0.929240,0.929440,0
20140801 001302930,0.929230,0.929430,0
20140801 001309930,0.929240,0.929440,0
20140801 001310680,0.929230,0.929430,0
20140801 001314430,0.929240,0.929440,0
20140801 001327680,0.929210,0.929410,0
20140801 001327930,0.929200,0.929400,0
20140801 001328430,0.929230,0.929430,0
20140801 001328680,0.929240,0.929440,0
20140801 001330680,0.929250,0.929450,0
20140801 001330930,0.929270,0.929470,0
20140801 001341180,0.929260,0.929460,0
20140801 001341447,0.929250,0.929450,0
20140801 001343180,0.929270,0.929470,0
20140801 001343930,0.929300,0.929500,0
20140801 001346680,0.929310,0.929510,0
20140801 001347180,0.929300,0.929500,0
20140801 001402180,0.929280,0.929480,0
20140801 001402430,0.929270,0.929470,0
20140801 001404180,0.929280,0.929480,0
20140801 001404680,0.929330,0.929530,0
20140801 001404930,0.929340,0.929540,0
20140801 001405180,0.929330,0.929530,0
20140801 001423693,0.929380,0.929580,0
20140801 001424180,0.929370,0.929570,0
20140801 001424430,0.929360,0.929560,0
20140801 001424680,0.929380,0.929580,0
20140801 001439930,0.929370,0.929570,0
20140801 001440180,0.929340,0.929540,0
20140801 001440430,0.929320,0.929520,0
20140801 001440680,0.929330,0.929530,0
20140801 001441193,0.929340,0.929540,0
20140801 001441430,0.929380,0.929580,0
20140801 001442430,0.929370,0.929570,0
20140801 001442930,0.929360,0.929560,0
20140801 001443193,0.929320,0.929520,0
20140801 001443430,0.929290,0.929490,0
20140801 001443930,0.929280,0.929480,0
20140801 001459943,0.929290,0.929490,0
20140801 001502430,0.929280,0.929480,0
20140801 001506427,0.929290,0.929490,0
20140801 001528927,0.929260,0.929460,0
20140801 001547177,0.929270,0.929470,0
20140801 001558427,0.929260,0.929460,0
20140801 001602177,0.929280,0.929480,0
20140801 001602427,0.929290,0.929490,0
20140801 001630177,0.929280,0.929480,0
20140801 001630927,0.929290,0.929490,0
20140801 001631193,0.929280,0.929480,0
20140801 001640943,0.929260,0.929460,0
20140801 001701943,0.929240,0.929440,0
20140801 001702210,0.929200,0.929400,0
20140801 001702443,0.929180,0.929380,0
20140801 001702693,0.929170,0.929370,0
20140801 001704443,0.929180,0.929380,0
20140801 001705193,0.929190,0.929390,0
20140801 001705443,0.929180,0.929380,0
20140801 001705693,0.929190,0.929390,0
20140801 001710443,0.929200,0.929400,0
20140801 001711193,0.929220,0.929420,0
20140801 001711443,0.929240,0.929440,0
20140801 001711693,0.929260,0.929460,0
