TIME,MIN,MAX,OTHER
20140731 000004737,1.10044898319,1.10081239955,0
20140731 000006737,1.10043687344,1.1008002818,0
20140731 000035737,1.10044898319,1.10081239955,0
20140731 000035987,1.10043687344,1.1008002818,0
20140731 000049987,1.10044898319,1.10081239955,0
20140731 000128970,1.1004610932,1.10082451756,0
20140731 000129470,1.10044898319,1.10081239955,0
20140731 000138737,1.1004610932,1.10082451756,0
20140731 000139237,1.10044898319,1.10081239955,0
20140731 000144237,1.1004610932,1.10082451756,0
20140731 000147987,1.10044898319,1.10081239955,0
20140731 000155487,1.1004610932,1.10082451756,0
20140731 000159970,1.10044898319,1.10081239955,0
20140731 000200237,1.1004610932,1.10082451756,0
20140731 000203970,1.10044898319,1.10081239955,0
20140731 000204470,1.1004610932,1.10082451756,0
20140731 000208970,1.10044898319,1.10081239955,0
20140731 000233987,1.10043687344,1.1008002818,0
20140731 000255237,1.10042476396,1.10078816433,0
20140731 000301237,1.10043687344,1.1008002818,0
20140731 000301487,1.10042476396,1.10078816433,0
20140731 000304720,1.10043687344,1.1008002818,0
20140731 000304987,1.10042476396,1.10078816433,0
20140731 000309987,1.10043687344,1.1008002818,0
20140731 000348987,1.10044898319,1.10081239955,0
20140731 000403237,1.10043687344,1.1008002818,0
20140731 000409237,1.10042476396,1.10078816433,0
20140731 000409487,1.10043687344,1.1008002818,0
20140731 000410237,1.10042476396,1.10078816433,0
20140731 000416987,1.10043687344,1.1008002818,0
20140731 000444987,1.10044898319,1.10081239955,0
20140731 000501220,1.10043687344,1.1008002818,0
20140731 000515237,1.10044898319,1.10081239955,0
20140731 000517237,1.10042476396,1.10078816433,0
20140731 000528987,1.10043687344,1.1008002818,0
20140731 000529237,1.10044898319,1.10081239955,0
20140731 000529487,1.10043687344,1.1008002818,0
20140731 000554987,1.10044898319,1.10081239955,0
20140731 000600237,1.10043687344,1.1008002818,0
20140731 000609237,1.10044898319,1.10081239955,0
20140731 000609987,1.10048531402,1.10084875439,0
20140731 000627737,1.10047320348,1.10083663584,0
20140731 000629737,1.10052164726,1.10088511163,0
20140731 000630237,1.10053375887,1.10089723124,0
20140731 000630487,1.1005579829,1.10092147127,0
20140731 000632487,1.10057009531,1.10093359169,0
20140731 000636487,1.1005579829,1.10092147127,0
20140731 000639737,1.10052164726,1.10088511163,0
20140731 000658737,1.10050953592,1.10087299228,0
20140731 000658987,1.10048531402,1.10084875439,0
20140731 000659487,1.10047320348,1.10083663584,0
20140731 000659987,1.10048531402,1.10084875439,0
20140731 000711970,1.10052164726,1.10088511163,0
20140731 000712487,1.10049742484,1.1008608732,0
20140731 000714487,1.10050953592,1.10087299228,0
20140731 000715987,1.10049742484,1.1008608732,0
20140731 000720237,1.1004610932,1.10082451756,0
20140731 000732733,1.10048531402,1.10084875439,0
20140731 000733233,1.1004610932,1.10082451756,0
20140731 000734233,1.10050953592,1.10087299228,0
20140731 000738733,1.10049742484,1.1008608732,0
20140731 000741733,1.1004610932,1.10082451756,0
20140731 000741983,1.10047320348,1.10083663584,0
20140731 000742233,1.10052164726,1.10088511163,0
20140731 000742483,1.10050953592,1.10087299228,0
20140731 000743233,1.10052164726,1.10088511163,0
20140731 000801233,1.10053375887,1.10089723124,0
20140731 000803733,1.10054587075,1.10090935112,0
20140731 000819233,1.1005579829,1.10092147127,0
20140731 000913983,1.10057009531,1.10093359169,0
20140731 000921467,1.1005579829,1.10092147127,0
20140731 000922467,1.10054587075,1.10090935112,0
20140731 000943717,1.10057009531,1.10093359169,0
20140731 000944233,1.1005579829,1.10092147127,0
20140731 000945233,1.10057009531,1.10093359169,0
20140731 000946233,1.1005579829,1.10092147127,0
20140731 000947483,1.10054587075,1.10090935112,0
20140731 000958733,1.1005579829,1.10092147127,0
20140731 001001983,1.10054587075,1.10090935112,0
20140731 001035983,1.10053375887,1.10089723124,0
20140731 001036983,1.10054587075,1.10090935112,0
20140731 001103983,1.10053375887,1.10089723124,0
20140731 001109483,1.10054587075,1.10090935112,0
20140731 001132983,1.1005579829,1.10092147127,0
20140731 001136483,1.10054587075,1.10090935112,0
20140731 001142483,1.10053375887,1.10089723124,0
20140731 001145483,1.10054587075,1.10090935112,0
20140731 001159483,1.10053375887,1.10089723124,0
20140731 001202483,1.10054587075,1.10090935112,0
20140731 001220733,1.10053375887,1.10089723124,0
20140731 001227983,1.10054587075,1.10090935112,0
20140731 001255983,1.10053375887,1.10089723124,0
20140731 001302233,1.10054587075,1.10090935112,0
20140731 001324733,1.10053375887,1.10089723124,0
20140731 001325733,1.10054587075,1.10090935112,0
20140731 001335983,1.10053375887,1.10089723124,0
20140731 001336967,1.10054587075,1.10090935112,0
20140731 001337233,1.10053375887,1.10089723124,0
20140731 001342217,1.10054587075,1.10090935112,0
20140731 001342467,1.10053375887,1.10089723124,0
20140731 001344217,1.10054587075,1.10090935112,0
20140731 001347733,1.10053375887,1.10089723124,0
20140731 001348983,1.10054587075,1.10090935112,0
20140731 001408733,1.10053375887,1.10089723124,0
20140731 001409733,1.10052164726,1.10088511163,0
20140731 001431967,1.10053375887,1.10089723124,0
20140731 001436233,1.1005579829,1.10092147127,0
20140731 001536480,1.10054587075,1.10090935112,0
20140731 001540980,1.1005579829,1.10092147127,0
20140731 001543980,1.10054587075,1.10090935112,0
20140731 001704997,1.1005579829,1.10092147127,0
20140731 001707997,1.10054587075,1.10090935112,0
20140731 001738747,1.1005579829,1.10092147127,0
20140731 001753747,1.10054587075,1.10090935112,0
20140731 001806997,1.1005579829,1.10092147127,0
20140731 001821997,1.10057009531,1.10093359169,0
20140731 001823997,1.10058220799,1.10094571237,0
20140731 001824997,1.10059432093,1.10095783331,0
20140731 001825247,1.10060643415,1.10096995453,0
20140731 001826247,1.10059432093,1.10095783331,0
20140731 001827997,1.10058220799,1.10094571237,0
20140731 001851497,1.10059432093,1.10095783331,0
20140731 001851747,1.10058220799,1.10094571237,0
20140731 001852730,1.10057009531,1.10093359169,0
20140731 001902730,1.10058220799,1.10094571237,0
20140731 001902997,1.10060643415,1.10096995453,0
20140731 001903403,1.10059432093,1.10095783331,0
20140731 001903497,1.10058220799,1.10094571237,0
20140731 001903997,1.10057009531,1.10093359169,0
20140731 001905247,1.1005579829,1.10092147127,0
20140731 001907497,1.10057009531,1.10093359169,0
20140731 001907747,1.1005579829,1.10092147127,0
20140731 001907997,1.10057009531,1.10093359169,0
20140731 001950497,1.1005579829,1.10092147127,0
20140731 001952247,1.10054587075,1.10090935112,0
20140731 001956497,1.10057009531,1.10093359169,0
20140731 002000497,1.1005579829,1.10092147127,0
20140731 002001497,1.10054587075,1.10090935112,0
20140731 002006997,1.10057009531,1.10093359169,0
20140731 002024497,1.1005579829,1.10092147127,0
20140731 002026497,1.10054587075,1.10090935112,0
20140731 002030497,1.10057009531,1.10093359169,0
20140731 002052997,1.10058220799,1.10094571237,0
20140731 002104247,1.10057009531,1.10093359169,0
20140731 002113747,1.10058220799,1.10094571237,0
20140731 002113997,1.10057009531,1.10093359169,0
20140731 002130747,1.1005579829,1.10092147127,0
20140731 002133497,1.10057009531,1.10093359169,0
20140731 002141497,1.1005579829,1.10092147127,0
20140731 002141997,1.10057009531,1.10093359169,0
20140731 002142997,1.1005579829,1.10092147127,0
20140731 002143497,1.10057009531,1.10093359169,0
20140731 002144497,1.1005579829,1.10092147127,0
20140731 002144997,1.10057009531,1.10093359169,0
20140731 002151997,1.1005579829,1.10092147127,0
20140731 002212243,1.10057009531,1.10093359169,0
20140731 002221993,1.1005579829,1.10092147127,0
20140731 002223243,1.10054587075,1.10090935112,0
20140731 002224993,1.1005579829,1.10092147127,0
20140731 002225993,1.10054587075,1.10090935112,0
20140731 002226993,1.1005579829,1.10092147127,0
20140731 002227493,1.10054587075,1.10090935112,0
20140731 002229243,1.10057009531,1.10093359169,0
20140731 002231493,1.10058220799,1.10094571237,0
20140731 002234243,1.10057009531,1.10093359169,0
20140731 002249243,1.1005579829,1.10092147127,0
20140731 002250493,1.10054587075,1.10090935112,0
20140731 002255993,1.1005579829,1.10092147127,0
20140731 002301743,1.10054587075,1.10090935112,0
20140731 002302243,1.10057009531,1.10093359169,0
20140731 002407993,1.1005579829,1.10092147127,0
20140731 002418993,1.10057009531,1.10093359169,0
20140731 002430993,1.1005579829,1.10092147127,0
20140731 002432993,1.10057009531,1.10093359169,0
20140731 002433493,1.1005579829,1.10092147127,0
