TIME,MAX,MIN,OTHER
20140801 000010183,1.100448983,1.100085807,0
20140801 000030167,1.100436873,1.100073705,0
20140801 000058667,1.100448983,1.100085807,0
20140801 000101917,1.100436873,1.100073705,0
20140801 000102417,1.100424764,1.100061603,0
20140801 000103417,1.100412655,1.100049502,0
20140801 000106917,1.100388437,1.100025301,0
20140801 000107167,1.100400546,1.100037401,0
20140801 000107417,1.100388437,1.100025301,0
20140801 000107667,1.100400546,1.100037401,0
20140801 000108167,1.100388437,1.100025301,0
20140801 000113683,1.100400546,1.100037401,0
20140801 000114183,1.100412655,1.100049502,0
20140801 000114433,1.100400546,1.100037401,0
20140801 000114667,1.100388437,1.100025301,0
20140801 000116933,1.100376329,1.1000132,0
20140801 000117183,1.100364221,1.1000011,0
20140801 000117683,1.100376329,1.1000132,0
20140801 000117933,1.100364221,1.1000011,0
20140801 000118183,1.100376329,1.1000132,0
20140801 000118683,1.100388437,1.100025301,0
20140801 000143183,1.100400546,1.100037401,0
20140801 000143433,1.100388437,1.100025301,0
20140801 000155683,1.100400546,1.100037401,0
20140801 000206200,1.100388437,1.100025301,0
20140801 000207433,1.100400546,1.100037401,0
20140801 000218933,1.100412655,1.100049502,0
20140801 000228433,1.100400546,1.100037401,0
20140801 000228683,1.100412655,1.100049502,0
20140801 000229183,1.100400546,1.100037401,0
20140801 000229433,1.100412655,1.100049502,0
20140801 000233183,1.100400546,1.100037401,0
20140801 000233433,1.100412655,1.100049502,0
20140801 000233683,1.100400546,1.100037401,0
20140801 000235433,1.100412655,1.100049502,0
20140801 000235683,1.100400546,1.100037401,0
20140801 000246917,1.100412655,1.100049502,0
20140801 000247167,1.100400546,1.100037401,0
20140801 000247917,1.100388437,1.100025301,0
20140801 000248167,1.100400546,1.100037401,0
20140801 000249167,1.100388437,1.100025301,0
20140801 000250917,1.100412655,1.100049502,0
20140801 000252417,1.100388437,1.100025301,0
20140801 000252917,1.100400546,1.100037401,0
20140801 000253167,1.100388437,1.100025301,0
20140801 000253917,1.100400546,1.100037401,0
20140801 000254167,1.100412655,1.100049502,0
20140801 000255167,1.100400546,1.100037401,0
20140801 000255417,1.100388437,1.100025301,0
20140801 000256667,1.100376329,1.1000132,0
20140801 000257417,1.100388437,1.100025301,0
20140801 000301917,1.100400546,1.100037401,0
20140801 000302167,1.100388437,1.100025301,0
20140801 000309167,1.100412655,1.100049502,0
20140801 000310917,1.100388437,1.100025301,0
20140801 000313167,1.100376329,1.1000132,0
20140801 000318917,1.100388437,1.100025301,0
20140801 000326917,1.100400546,1.100037401,0
20140801 000327167,1.100388437,1.100025301,0
20140801 000329417,1.100376329,1.1000132,0
20140801 000336167,1.100400546,1.100037401,0
20140801 000337417,1.100388437,1.100025301,0
20140801 000338417,1.100400546,1.100037401,0
20140801 000343167,1.100412655,1.100049502,0
20140801 000409417,1.100400546,1.100037401,0
20140801 000509667,1.100412655,1.100049502,0
20140801 000509917,1.100400546,1.100037401,0
20140801 000519417,1.100388437,1.100025301,0
20140801 000520417,1.100400546,1.100037401,0
20140801 000520667,1.100388437,1.100025301,0
20140801 000521167,1.100400546,1.100037401,0
20140801 000524667,1.100424764,1.100061603,0
20140801 000525667,1.100412655,1.100049502,0
20140801 000526917,1.100400546,1.100037401,0
