TIME,MIN,MAX,OTHER
20140731 000034487,1.33958,1.33975,0
20140731 000035487,1.33957,1.33974,0
20140731 000138987,1.33958,1.33975,0
20140731 000144987,1.33957,1.33974,0
20140731 000347487,1.33958,1.33975,0
20140731 000414487,1.33957,1.33974,0
20140731 000554987,1.33958,1.33975,0
20140731 000634750,1.33959,1.33976,0
20140731 000634987,1.33958,1.33975,0
20140731 000635237,1.33959,1.33976,0
20140731 000658987,1.33958,1.33975,0
20140731 000659237,1.33957,1.33974,0
20140731 000711970,1.33958,1.33975,0
20140731 000714720,1.33957,1.33974,0
20140731 000717487,1.33958,1.33975,0
20140731 000740483,1.33957,1.33974,0
20140731 000742483,1.33958,1.33975,0
20140731 000749733,1.33957,1.33974,0
20140731 000752483,1.33958,1.33975,0
20140731 000842983,1.33959,1.33976,0
20140731 000856467,1.33958,1.33975,0
20140731 000901983,1.33959,1.33976,0
20140731 000910717,1.33958,1.33975,0
20140731 000912717,1.33959,1.33976,0
20140731 000929233,1.33957,1.33974,0
20140731 001029233,1.33958,1.33975,0
20140731 001136733,1.33957,1.33974,0
20140731 001137483,1.33958,1.33975,0
20140731 001140733,1.33957,1.33974,0
20140731 001217233,1.33958,1.33975,0
20140731 001221483,1.33957,1.33974,0
20140731 001222483,1.33958,1.33975,0
20140731 001223733,1.33957,1.33974,0
20140731 001224233,1.33958,1.33975,0
20140731 001226983,1.33957,1.33974,0
20140731 001245233,1.33958,1.33975,0
20140731 001247483,1.33957,1.33974,0
20140731 001259483,1.33958,1.33975,0
20140731 001259983,1.33957,1.33974,0
20140731 001309233,1.33958,1.33975,0
20140731 001320733,1.33957,1.33974,0
20140731 001321483,1.33958,1.33975,0
20140731 001322233,1.33957,1.33974,0
20140731 001322483,1.33958,1.33975,0
20140731 001322733,1.33957,1.33974,0
20140731 001324733,1.33955,1.33972,0
20140731 001325733,1.33957,1.33974,0
20140731 001407217,1.33955,1.33972,0
20140731 001459497,1.33957,1.33974,0
20140731 001505983,1.33958,1.33975,0
20140731 001506733,1.33957,1.33974,0
20140731 001506983,1.33958,1.33975,0
20140731 001508747,1.33959,1.33976,0
20140731 001508983,1.3396,1.33977,0
20140731 001509483,1.33959,1.33976,0
20140731 001509733,1.3396,1.33977,0
20140731 001518980,1.33957,1.33974,0
20140731 001519230,1.33959,1.33976,0
20140731 001519480,1.33958,1.33975,0
20140731 001534730,1.33957,1.33974,0
20140731 001534980,1.33958,1.33975,0
20140731 001535730,1.33957,1.33974,0
20140731 001535997,1.33958,1.33975,0
20140731 001544497,1.33957,1.33974,0
20140731 001554480,1.33955,1.33972,0
20140731 001613980,1.33956,1.33973,0
20140731 001614247,1.33957,1.33974,0
20140731 001615747,1.33958,1.33975,0
20140731 001820497,1.3396,1.33977,0
20140731 001820747,1.33962,1.33979,0
20140731 001821013,1.33967,1.33984,0
20140731 001821247,1.33968,1.33985,0
20140731 001821497,1.33967,1.33984,0
20140731 001821747,1.33966,1.33983,0
20140731 001822247,1.33967,1.33984,0
20140731 001824997,1.33968,1.33985,0
20140731 001834247,1.33967,1.33984,0
20140731 001834497,1.33968,1.33985,0
20140731 001836997,1.33967,1.33984,0
20140731 001841497,1.33968,1.33985,0
20140731 001845747,1.33969,1.33986,0
20140731 001900230,1.33967,1.33984,0
20140731 001902730,1.33968,1.33985,0
20140731 001903403,1.33966,1.33983,0
20140731 001906997,1.33965,1.33982,0
20140731 001907497,1.33963,1.3398,0
20140731 001908247,1.33964,1.33981,0
20140731 001913247,1.33962,1.33979,0
20140731 001924247,1.33961,1.33978,0
20140731 001952247,1.3396,1.33977,0
20140731 001952497,1.33958,1.33975,0
20140731 001952747,1.33957,1.33974,0
20140731 001956747,1.33958,1.33975,0
20140731 001957747,1.33957,1.33974,0
20140731 002004497,1.33958,1.33975,0
20140731 002039497,1.33959,1.33976,0
20140731 002039997,1.3396,1.33977,0
20140731 002113747,1.33959,1.33976,0
20140731 002145997,1.33958,1.33975,0
20140731 002253493,1.33957,1.33974,0
20140731 002253743,1.33956,1.33973,0
20140731 002254243,1.33957,1.33974,0
20140731 002258493,1.33958,1.33975,0
20140731 002433243,1.33959,1.33976,0
20140731 002433493,1.33957,1.33974,0
20140731 002434243,1.33956,1.33973,0
20140731 002434743,1.33957,1.33974,0
20140731 002435243,1.33956,1.33973,0
20140731 002446243,1.33957,1.33974,0
20140731 002458493,1.33956,1.33973,0
20140731 002507243,1.33957,1.33974,0
20140731 002516993,1.33956,1.33973,0
20140731 002518243,1.33957,1.33974,0
20140731 002525993,1.33956,1.33973,0
20140731 002526493,1.33957,1.33974,0
20140731 002526993,1.33956,1.33973,0
20140731 002545493,1.33957,1.33974,0
20140731 002552743,1.33956,1.33973,0
20140731 002553993,1.33957,1.33974,0
20140731 002554743,1.33956,1.33973,0
