TIME,MIN,MAX,OTHER
20140731 000000737,1.69205,1.69235,0
20140731 000010237,1.69204,1.69234,0
20140731 000029987,1.69202,1.69232,0
20140731 000030237,1.69203,1.69233,0
20140731 000035737,1.69205,1.69235,0
20140731 000057987,1.69204,1.69234,0
20140731 000058487,1.69205,1.69235,0
20140731 000059737,1.69204,1.69234,0
20140731 000059987,1.69205,1.69235,0
20140731 000138737,1.69204,1.69234,0
20140731 000138987,1.69205,1.69235,0
20140731 000139970,1.69204,1.69234,0
20140731 000140237,1.69205,1.69235,0
20140731 000150220,1.69204,1.69234,0
20140731 000154487,1.69205,1.69235,0
20140731 000157220,1.69202,1.69232,0
20140731 000157470,1.69205,1.69235,0
20140731 000207220,1.69204,1.69234,0
20140731 000207970,1.69205,1.69235,0
20140731 000209470,1.69204,1.69234,0
20140731 000210470,1.69205,1.69235,0
20140731 000211237,1.69204,1.69234,0
20140731 000213470,1.69205,1.69235,0
20140731 000215237,1.69204,1.69234,0
20140731 000215970,1.69205,1.69235,0
20140731 000218237,1.69204,1.69234,0
20140731 000218737,1.69205,1.69235,0
20140731 000220737,1.69209,1.69239,0
20140731 000220987,1.69215,1.69245,0
20140731 000221220,1.69214,1.69244,0
20140731 000229987,1.69213,1.69243,0
20140731 000323487,1.69211,1.69241,0
20140731 000323737,1.6921,1.6924,0
20140731 000326237,1.69211,1.69241,0
20140731 000326487,1.6921,1.6924,0
20140731 000359987,1.69211,1.69241,0
20140731 000401737,1.6921,1.6924,0
20140731 000413737,1.69209,1.69239,0
20140731 000413987,1.69208,1.69238,0
20140731 000414237,1.6921,1.6924,0
20140731 000414487,1.69211,1.69241,0
20140731 000415487,1.69212,1.69242,0
20140731 000429987,1.69211,1.69241,0
20140731 000432237,1.69212,1.69242,0
20140731 000442237,1.69211,1.69241,0
20140731 000453237,1.69212,1.69242,0
20140731 000505237,1.69211,1.69241,0
20140731 000505737,1.69212,1.69242,0
20140731 000529487,1.69211,1.69241,0
20140731 000552237,1.69212,1.69242,0
20140731 000555987,1.69213,1.69243,0
20140731 000601737,1.69212,1.69242,0
20140731 000604237,1.69211,1.69241,0
20140731 000608237,1.69212,1.69242,0
20140731 000610737,1.69211,1.69241,0
20140731 000630237,1.69212,1.69242,0
20140731 000649737,1.69211,1.69241,0
20140731 000703737,1.69212,1.69242,0
20140731 000709737,1.69217,1.69247,0
20140731 000709987,1.69218,1.69248,0
20140731 000712737,1.69215,1.69245,0
20140731 000712987,1.69214,1.69244,0
20140731 000716237,1.69213,1.69243,0
20140731 000716487,1.69214,1.69244,0
20140731 000738233,1.69213,1.69243,0
20140731 000738483,1.69214,1.69244,0
20140731 000738733,1.69213,1.69243,0
20140731 000742233,1.69214,1.69244,0
20140731 000743483,1.69213,1.69243,0
20140731 000757233,1.69214,1.69244,0
20140731 000800233,1.69213,1.69243,0
20140731 000801233,1.69214,1.69244,0
20140731 000817483,1.69213,1.69243,0
20140731 000839733,1.69212,1.69242,0
20140731 000840233,1.69213,1.69243,0
20140731 000841467,1.69212,1.69242,0
20140731 000841733,1.69213,1.69243,0
20140731 000842483,1.69212,1.69242,0
20140731 000842733,1.69213,1.69243,0
20140731 000851733,1.69212,1.69242,0
20140731 000851983,1.69213,1.69243,0
20140731 000852217,1.69212,1.69242,0
20140731 000858717,1.69211,1.69241,0
20140731 000903967,1.69212,1.69242,0
20140731 000904733,1.69211,1.69241,0
20140731 000908717,1.69212,1.69242,0
20140731 000956733,1.69211,1.69241,0
20140731 000956983,1.6921,1.6924,0
20140731 000958733,1.69211,1.69241,0
20140731 000958983,1.6921,1.6924,0
20140731 001007983,1.69211,1.69241,0
20140731 001015483,1.69208,1.69238,0
20140731 001015733,1.69209,1.69239,0
20140731 001016233,1.69211,1.69241,0
20140731 001020983,1.69212,1.69242,0
20140731 001047733,1.69211,1.69241,0
20140731 001104483,1.6921,1.6924,0
20140731 001105733,1.69211,1.69241,0
20140731 001113483,1.6921,1.6924,0
20140731 001117483,1.69208,1.69238,0
20140731 001123483,1.69209,1.69239,0
20140731 001123733,1.69208,1.69238,0
20140731 001129483,1.69209,1.69239,0
20140731 001132983,1.69208,1.69238,0
20140731 001133733,1.69207,1.69237,0
20140731 001134483,1.69208,1.69238,0
20140731 001134733,1.69207,1.69237,0
20140731 001135233,1.69208,1.69238,0
20140731 001136733,1.69207,1.69237,0
20140731 001137483,1.69208,1.69238,0
20140731 001137983,1.69207,1.69237,0
20140731 001138233,1.69208,1.69238,0
20140731 001138983,1.69207,1.69237,0
20140731 001139483,1.69208,1.69238,0
20140731 001140483,1.69207,1.69237,0
20140731 001144733,1.69206,1.69236,0
20140731 001158233,1.69207,1.69237,0
20140731 001158483,1.69203,1.69233,0
20140731 001158733,1.69199,1.69229,0
20140731 001208733,1.69198,1.69228,0
20140731 001209483,1.69196,1.69226,0
20140731 001209733,1.69198,1.69228,0
20140731 001209983,1.69196,1.69226,0
20140731 001236983,1.69197,1.69227,0
20140731 001241483,1.69196,1.69226,0
20140731 001245483,1.69197,1.69227,0
20140731 001249483,1.69196,1.69226,0
20140731 001259983,1.69197,1.69227,0
20140731 001305983,1.69196,1.69226,0
20140731 001311483,1.69197,1.69227,0
20140731 001322733,1.69196,1.69226,0
20140731 001322983,1.69194,1.69224,0
20140731 001323233,1.69193,1.69223,0
20140731 001323483,1.69192,1.69222,0
20140731 001403717,1.69191,1.69221,0
20140731 001407967,1.69192,1.69222,0
20140731 001430733,1.69191,1.69221,0
20140731 001447247,1.6919,1.6922,0
20140731 001449483,1.69189,1.69219,0
20140731 001451983,1.6919,1.6922,0
20140731 001454983,1.69189,1.69219,0
20140731 001459747,1.69188,1.69218,0
20140731 001501247,1.6919,1.6922,0
20140731 001501497,1.69192,1.69222,0
20140731 001509483,1.69193,1.69223,0
20140731 001510233,1.69192,1.69222,0
20140731 001516997,1.69193,1.69223,0
20140731 001608230,1.69192,1.69222,0
20140731 001614480,1.69193,1.69223,0
20140731 001614980,1.69192,1.69222,0
20140731 001615480,1.69193,1.69223,0
20140731 001638497,1.69194,1.69224,0
20140731 001642247,1.69196,1.69226,0
20140731 001642497,1.69198,1.69228,0
20140731 001643997,1.69197,1.69227,0
20140731 001649747,1.69192,1.69222,0
20140731 001649997,1.69196,1.69226,0
20140731 001650747,1.69193,1.69223,0
20140731 001650997,1.69192,1.69222,0
20140731 001817497,1.6919,1.6922,0
20140731 001820747,1.69191,1.69221,0
20140731 001821013,1.6919,1.6922,0
20140731 001822497,1.69191,1.69221,0
20140731 001831497,1.6919,1.6922,0
20140731 001832997,1.69191,1.69221,0
20140731 001833747,1.6919,1.6922,0
20140731 001835247,1.69191,1.69221,0
20140731 001836247,1.6919,1.6922,0
20140731 001839247,1.69191,1.69221,0
20140731 001841747,1.6919,1.6922,0
20140731 001951497,1.69189,1.69219,0
20140731 001954497,1.6919,1.6922,0
20140731 001955497,1.69189,1.69219,0
20140731 001955997,1.6919,1.6922,0
20140731 001959747,1.69189,1.69219,0
20140731 001959997,1.6919,1.6922,0
20140731 002007497,1.69189,1.69219,0
20140731 002008497,1.6919,1.6922,0
20140731 002113747,1.69191,1.69221,0
20140731 002114247,1.6919,1.6922,0
20140731 002214243,1.69191,1.69221,0
20140731 002214743,1.6919,1.6922,0
20140731 002221243,1.69191,1.69221,0
