TIME,MIN,MAX,OTHER
20140731 000000737,0.85029,0.85059,0
20140731 000000987,0.8503,0.8506,0
20140731 000001487,0.85029,0.85059,0
20140731 000001737,0.8503,0.8506,0
20140731 000002987,0.85031,0.85061,0
20140731 000003487,0.8503,0.8506,0
20140731 000004737,0.85031,0.85061,0
20140731 000004987,0.85033,0.85063,0
20140731 000005737,0.85034,0.85064,0
20140731 000027487,0.85035,0.85065,0
20140731 000031987,0.85034,0.85064,0
20140731 000032987,0.85033,0.85063,0
20140731 000033237,0.85032,0.85062,0
20140731 000034987,0.85033,0.85063,0
20140731 000037237,0.85032,0.85062,0
20140731 000037487,0.85031,0.85061,0
20140731 000121987,0.8503,0.8506,0
20140731 000216720,0.85026,0.85056,0
20140731 000216970,0.85025,0.85055,0
20140731 000217237,0.85024,0.85054,0
20140731 000218737,0.85025,0.85055,0
20140731 000218987,0.85024,0.85054,0
20140731 000219487,0.85023,0.85053,0
20140731 000219737,0.85024,0.85054,0
20140731 000225487,0.85022,0.85052,0
20140731 000225737,0.85023,0.85053,0
20140731 000233237,0.85024,0.85054,0
20140731 000235737,0.85025,0.85055,0
20140731 000235987,0.85024,0.85054,0
20140731 000244737,0.85025,0.85055,0
20140731 000246237,0.85026,0.85056,0
20140731 000301487,0.85025,0.85055,0
20140731 000305237,0.85023,0.85053,0
20140731 000357487,0.85024,0.85054,0
20140731 000409487,0.85025,0.85055,0
20140731 000409737,0.85024,0.85054,0
20140731 000411487,0.85026,0.85056,0
20140731 000518737,0.85025,0.85055,0
20140731 000535237,0.85024,0.85054,0
20140731 000540487,0.85025,0.85055,0
20140731 000546220,0.85024,0.85054,0
20140731 000555237,0.85025,0.85055,0
20140731 000555720,0.85026,0.85056,0
20140731 000634987,0.85025,0.85055,0
20140731 000637487,0.85024,0.85054,0
20140731 000638237,0.85023,0.85053,0
20140731 000638487,0.85024,0.85054,0
20140731 000638737,0.85025,0.85055,0
20140731 000640737,0.85026,0.85056,0
20140731 000640987,0.85027,0.85057,0
20140731 000642737,0.85026,0.85056,0
20140731 000642987,0.85025,0.85055,0
20140731 000643487,0.85023,0.85053,0
20140731 000644000,0.85021,0.85051,0
20140731 000644237,0.85018,0.85048,0
20140731 000646237,0.85017,0.85047,0
20140731 000648237,0.85019,0.85049,0
20140731 000648407,0.85021,0.85051,0
20140731 000649987,0.85025,0.85055,0
20140731 000650237,0.85027,0.85057,0
20140731 000650487,0.85026,0.85056,0
20140731 000650737,0.85025,0.85055,0
20140731 000650987,0.85024,0.85054,0
20140731 000655987,0.85023,0.85053,0
20140731 000701987,0.85022,0.85052,0
20140731 000702487,0.85021,0.85051,0
20140731 000702987,0.8502,0.8505,0
20140731 000713487,0.85021,0.85051,0
20140731 000718237,0.8502,0.8505,0
20140731 000718487,0.85019,0.85049,0
20140731 000726483,0.8502,0.8505,0
20140731 000732733,0.85021,0.85051,0
20140731 000733983,0.8502,0.8505,0
20140731 000734233,0.85021,0.85051,0
20140731 000734483,0.8502,0.8505,0
20140731 000734983,0.85021,0.85051,0
20140731 000736983,0.8502,0.8505,0
20140731 000737233,0.85021,0.85051,0
20140731 000737483,0.85022,0.85052,0
20140731 000738483,0.85021,0.85051,0
20140731 000743483,0.85022,0.85052,0
20140731 000746733,0.85021,0.85051,0
20140731 000747733,0.85022,0.85052,0
20140731 000752233,0.85025,0.85055,0
20140731 000752483,0.85027,0.85057,0
20140731 000752733,0.85026,0.85056,0
20140731 000753983,0.85027,0.85057,0
20140731 000754233,0.85028,0.85058,0
20140731 000759733,0.85027,0.85057,0
20140731 000800733,0.85026,0.85056,0
20140731 000803733,0.85027,0.85057,0
20140731 000804233,0.85026,0.85056,0
20140731 000805983,0.85027,0.85057,0
20140731 000806483,0.85026,0.85056,0
20140731 000821483,0.85025,0.85055,0
20140731 000829983,0.85026,0.85056,0
20140731 000832233,0.85027,0.85057,0
20140731 000835733,0.85029,0.85059,0
20140731 000835983,0.8503,0.8506,0
20140731 000845233,0.85029,0.85059,0
20140731 000845483,0.85028,0.85058,0
20140731 000851217,0.85029,0.85059,0
20140731 000853717,0.85024,0.85054,0
20140731 000853983,0.85023,0.85053,0
20140731 000854217,0.85024,0.85054,0
20140731 000854467,0.85025,0.85055,0
20140731 000909983,0.85023,0.85053,0
20140731 000910717,0.85025,0.85055,0
20140731 000910967,0.85029,0.85059,0
20140731 000911217,0.85028,0.85058,0
20140731 000911467,0.85026,0.85056,0
20140731 000912467,0.85029,0.85059,0
20140731 000914717,0.85034,0.85064,0
20140731 000915983,0.85031,0.85061,0
20140731 000917217,0.85032,0.85062,0
20140731 000918217,0.85033,0.85063,0
20140731 000918467,0.85034,0.85064,0
20140731 000919233,0.85035,0.85065,0
20140731 000920217,0.85036,0.85066,0
20140731 000920467,0.85039,0.85069,0
20140731 000920717,0.8504,0.8507,0
20140731 000920983,0.85043,0.85073,0
20140731 000921967,0.85042,0.85072,0
20140731 000922467,0.8504,0.8507,0
20140731 000922717,0.85039,0.85069,0
20140731 000922967,0.85038,0.85068,0
20140731 000923217,0.85039,0.85069,0
20140731 000924217,0.85038,0.85068,0
20140731 000924467,0.85035,0.85065,0
20140731 000924717,0.85034,0.85064,0
20140731 000925717,0.85036,0.85066,0
20140731 000926217,0.85035,0.85065,0
20140731 000929717,0.85036,0.85066,0
20140731 000930217,0.85037,0.85067,0
20140731 000930983,0.85038,0.85068,0
20140731 000931233,0.85037,0.85067,0
20140731 000931483,0.85035,0.85065,0
20140731 000931983,0.85036,0.85066,0
20140731 000932467,0.85035,0.85065,0
20140731 000934967,0.85037,0.85067,0
20140731 000935233,0.85038,0.85068,0
20140731 000935467,0.85039,0.85069,0
20140731 000935967,0.85041,0.85071,0
20140731 000937983,0.8504,0.8507,0
20140731 000938233,0.85035,0.85065,0
20140731 000949733,0.85032,0.85062,0
20140731 000949983,0.85033,0.85063,0
20140731 000950233,0.85035,0.85065,0
20140731 000950983,0.85034,0.85064,0
20140731 000952733,0.85036,0.85066,0
20140731 000952983,0.85037,0.85067,0
20140731 000953233,0.85036,0.85066,0
20140731 000953483,0.85035,0.85065,0
20140731 000956733,0.85034,0.85064,0
20140731 000956983,0.85033,0.85063,0
20140731 001002733,0.85034,0.85064,0
20140731 001003233,0.85033,0.85063,0
20140731 001003733,0.85034,0.85064,0
20140731 001003983,0.85033,0.85063,0
20140731 001004483,0.85034,0.85064,0
20140731 001005733,0.85036,0.85066,0
20140731 001006983,0.85037,0.85067,0
20140731 001007233,0.85038,0.85068,0
20140731 001007483,0.85037,0.85067,0
20140731 001007733,0.85038,0.85068,0
